Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
costa rica,rent per month,apartment (1 bedroom) outside of centre,492.35 €,275.53-826.59,492.35,"(275.53, 826.59)",275.53,826.59
costa rica,rent per month,apartment (3 bedrooms) in city centre,"1,357.69 €","734.74-2,297.25",1.357,"(734.74, 2.297)",734.74,2.297
costa rica,rent per month,apartment (3 bedrooms) outside of centre,943.13 €,"551.06-1,653.18",943.13,"(551.06, 1.653)",551.06,1.653
costa rica,buy apartment price,price per square meter to buy apartment in city centre,"2,475.42 €","1,552.15-4,576.12",2.475,"(552.15, 4.576)",552.15,4.576
costa rica,buy apartment price,price per square meter to buy apartment outside of centre,"1,331.99 €","786.92-1,836.86",1.331,"(786.92, 1.836)",786.92,1.836
costa rica,salaries and financing,average monthly net salary (after tax),933.50 €,,933.5,,,
costa rica,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",10.38,7.50-15.00,10.38,"(7.5, 15.0)",7.5,15.0
croatia,rent per month,apartment (1 bedroom) in city centre,643.46 €,"500.00-1,000.00",643.46,"(500.0, 1.0)",500.0,1.0
croatia,rent per month,apartment (1 bedroom) outside of centre,492.24 €,350.00-700.00,492.24,"(350.0, 700.0)",350.0,700.0
croatia,rent per month,apartment (3 bedrooms) in city centre,"1,072.43 €","700.00-1,700.00",1.072,"(700.0, 1.7)",700.0,1.7
croatia,rent per month,apartment (3 bedrooms) outside of centre,787.35 €,"550.00-1,300.00",787.35,"(550.0, 1.3)",550.0,1.3
croatia,buy apartment price,price per square meter to buy apartment in city centre,"3,864.90 €","2,600.00-6,000.00",3.864,"(600.0, 6.0)",600.0,6.0
croatia,buy apartment price,price per square meter to buy apartment outside of centre,"2,787.98 €","2,000.00-4,000.00",2.787,"(0.0, 4.0)",0.0,4.0
croatia,salaries and financing,average monthly net salary (after tax),"1,292.61 €",,1.292,,,
croatia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.34,3.00-4.70,4.34,"(3.0, 4.7)",3.0,4.7
cuba,rent per month,apartment (1 bedroom) in city centre,316.75 €,183.78-643.23,316.75,"(183.78, 643.23)",183.78,643.23
cuba,rent per month,apartment (1 bedroom) outside of centre,479.48 €,321.62-735.12,479.48,"(321.62, 735.12)",321.62,735.12
cuba,rent per month,apartment (3 bedrooms) in city centre,830.84 €,"551.34-1,182.98",830.84,"(551.34, 1.182)",551.34,1.182
cuba,rent per month,apartment (3 bedrooms) outside of centre,581.89 €,459.45-918.90,581.89,"(459.45, 918.9)",459.45,918.9
cuba,buy apartment price,price per square meter to buy apartment in city centre,343.45 €,294.05-363.65,343.45,"(294.05, 363.65)",294.05,363.65
cuba,buy apartment price,price per square meter to buy apartment outside of centre,311.77 €,266.48-344.59,311.77,"(266.48, 344.59)",266.48,344.59
cuba,salaries and financing,average monthly net salary (after tax),33.60 €,,33.6,,,
cuba,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",8.96,5.00-15.00,8.96,"(5.0, 15.0)",5.0,15.0
curacao,rent per month,apartment (1 bedroom) in city centre,725.05 €,"458.26-1,018.36",725.05,"(458.26, 1.018)",458.26,1.018
curacao,rent per month,apartment (1 bedroom) outside of centre,507.73 €,356.43-763.77,507.73,"(356.43, 763.77)",356.43,763.77
curacao,rent per month,apartment (3 bedrooms) in city centre,"1,586.95 €","916.52-2,291.31",1.586,"(916.52, 2.291)",916.52,2.291
curacao,rent per month,apartment (3 bedrooms) outside of centre,"1,073.52 €","611.02-1,629.38",1.073,"(611.02, 1.629)",611.02,1.629
curacao,buy apartment price,price per square meter to buy apartment in city centre,763.77 €,,763.77,,,
curacao,buy apartment price,price per square meter to buy apartment outside of centre,152.75 €,,152.75,,,
curacao,salaries and financing,average monthly net salary (after tax),910.16 €,,910.16,,,
curacao,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.19,4.80-5.85,5.19,"(4.8, 5.85)",4.8,5.85
cyprus,rent per month,apartment (1 bedroom) in city centre,931.61 €,"600.00-1,500.00",931.61,"(600.0, 1.5)",600.0,1.5
cyprus,rent per month,apartment (1 bedroom) outside of centre,742.09 €,"450.00-1,200.00",742.09,"(450.0, 1.2)",450.0,1.2
cyprus,rent per month,apartment (3 bedrooms) in city centre,"1,765.33 €","1,100.00-2,700.00",1.765,"(100.0, 2.7)",100.0,2.7
cyprus,rent per month,apartment (3 bedrooms) outside of centre,"1,424.28 €","900.00-2,200.00",1.424,"(900.0, 2.2)",900.0,2.2
cyprus,buy apartment price,price per square meter to buy apartment in city centre,"3,099.54 €","1,900.00-5,000.00",3.099,"(900.0, 5.0)",900.0,5.0
cyprus,buy apartment price,price per square meter to buy apartment outside of centre,"2,324.42 €","1,400.00-4,000.00",2.324,"(400.0, 4.0)",400.0,4.0
cyprus,salaries and financing,average monthly net salary (after tax),"1,590.82 €",,1.59,,,
cyprus,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.41,3.00-6.00,4.41,"(3.0, 6.0)",3.0,6.0
czech republic,rent per month,apartment (1 bedroom) in city centre,724.30 €,"479.62-1,199.05",724.3,"(479.62, 1.199)",479.62,1.199
czech republic,rent per month,apartment (1 bedroom) outside of centre,587.22 €,399.68-879.30,587.22,"(399.68, 879.3)",399.68,879.3
czech republic,rent per month,apartment (3 bedrooms) in city centre,"1,224.41 €","719.43-2,398.10",1.224,"(719.43, 2.398)",719.43,2.398
czech republic,rent per month,apartment (3 bedrooms) outside of centre,940.59 €,"639.49-1,598.73",940.59,"(639.49, 1.598)",639.49,1.598
czech republic,buy apartment price,price per square meter to buy apartment in city centre,"4,548.68 €","2,597.94-7,993.67",4.548,"(597.94, 7.993)",597.94,7.993
czech republic,buy apartment price,price per square meter to buy apartment outside of centre,"3,351.49 €","1,998.42-5,595.57",3.351,"(998.42, 5.595)",998.42,5.595
czech republic,salaries and financing,average monthly net salary (after tax),"1,449.55 €",,1.449,,,
czech republic,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.52,4.49-6.00,5.52,"(4.49, 6.0)",4.49,6.0
democratic republic of the congo,rent per month,apartment (1 bedroom) in city centre,"1,137.14 €","459.45-1,837.80",1.137,"(459.45, 1.837)",459.45,1.837
democratic republic of the congo,rent per month,apartment (1 bedroom) outside of centre,338.84 €,229.73-459.45,338.84,"(229.73, 459.45)",229.73,459.45
democratic republic of the congo,rent per month,apartment (3 bedrooms) in city centre,"2,389.14 €","1,837.80-4,135.05",2.389,"(837.8, 4.135)",837.8,4.135
democratic republic of the congo,rent per month,apartment (3 bedrooms) outside of centre,762.69 €,"413.50-2,297.25",762.69,"(413.5, 2.297)",413.5,2.297
democratic republic of the congo,buy apartment price,price per square meter to buy apartment in city centre,"3,751.71 €","918.90-11,869.15",3.751,"(918.9, 11.869)",918.9,11.869
democratic republic of the congo,buy apartment price,price per square meter to buy apartment outside of centre,643.23 €,"459.45-1,378.35",643.23,"(459.45, 1.378)",459.45,1.378
democratic republic of the congo,salaries and financing,average monthly net salary (after tax),476.68 €,,476.68,,,
democratic republic of the congo,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",17.00,12.00-21.00,17.0,"(12.0, 21.0)",12.0,21.0
denmark,rent per month,apartment (1 bedroom) in city centre,"1,036.84 €","670.14-2,010.42",1.036,"(670.14, 2.01)",670.14,2.01
denmark,rent per month,apartment (1 bedroom) outside of centre,801.09 €,"500.00-1,474.31",801.09,"(500.0, 1.474)",500.0,1.474
denmark,rent per month,apartment (3 bedrooms) in city centre,"1,859.26 €","1,206.25-3,350.70",1.859,"(206.25, 3.35)",206.25,3.35
denmark,rent per month,apartment (3 bedrooms) outside of centre,"1,464.49 €","938.20-2,278.48",1.464,"(938.2, 2.278)",938.2,2.278
denmark,buy apartment price,price per square meter to buy apartment in city centre,"4,970.87 €","2,546.54-8,711.83",4.97,"(546.54, 8.711)",546.54,8.711
denmark,buy apartment price,price per square meter to buy apartment outside of centre,"3,541.38 €","1,876.39-6,500.37",3.541,"(876.39, 6.5)",876.39,6.5
denmark,salaries and financing,average monthly net salary (after tax),"3,438.63 €",,3.438,,,
denmark,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",4.20,2.00-5.00,4.2,"(2.0, 5.0)",2.0,5.0
djibouti,rent per month,apartment (1 bedroom) in city centre,"2,009.85 €",,2.009,,,
djibouti,rent per month,apartment (1 bedroom) outside of centre,206.14 €,,206.14,,,
djibouti,rent per month,apartment (3 bedrooms) in city centre,901.86 €,"773.02-1,030.69",901.86,"(773.02, 1.03)",773.02,1.03
djibouti,rent per month,apartment (3 bedrooms) outside of centre,"1,209.29 €","463.81-2,061.39",1.209,"(463.81, 2.061)",463.81,2.061
djibouti,buy apartment price,price per square meter to buy apartment in city centre,"12,794.17 €",,12.794,,,
djibouti,buy apartment price,price per square meter to buy apartment outside of centre,"10,321.08 €",,10.321,,,
djibouti,salaries and financing,average monthly net salary (after tax),"4,594.50 €",,4.594,,,
djibouti,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.60,7.20-12.00,9.6,"(7.2, 12.0)",7.2,12.0
dominica,rent per month,apartment (1 bedroom) in city centre,258.41 €,238.01-784.49,258.41,"(238.01, 784.49)",238.01,784.49
dominica,rent per month,apartment (1 bedroom) outside of centre,301.58 €,170.01-594.31,301.58,"(170.01, 594.31)",170.01,594.31
dominica,rent per month,apartment (3 bedrooms) in city centre,875.53 €,"612.02-1,188.62",875.53,"(612.02, 1.188)",612.02,1.188
dominica,rent per month,apartment (3 bedrooms) outside of centre,569.52 €,510.02-950.89,569.52,"(510.02, 950.89)",510.02,950.89
dominica,buy apartment price,price per square meter to buy apartment in city centre,95.93 €,70.00-152.96,95.93,"(70.0, 152.96)",70.0,152.96
dominica,buy apartment price,price per square meter to buy apartment outside of centre,41.55 €,27.20-50.00,41.55,"(27.2, 50.0)",27.2,50.0
dominica,salaries and financing,average monthly net salary (after tax),521.35 €,,521.35,,,
dominica,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",7.60,,7.6,,,
dominican republic,rent per month,apartment (1 bedroom) in city centre,398.57 €,183.78-875.65,398.57,"(183.78, 875.65)",183.78,875.65
dominican republic,rent per month,apartment (1 bedroom) outside of centre,214.82 €,116.75-551.34,214.82,"(116.75, 551.34)",116.75,551.34
dominican republic,rent per month,apartment (3 bedrooms) in city centre,783.19 €,"321.07-1,516.08",783.19,"(321.07, 1.516)",321.07,1.516
dominican republic,rent per month,apartment (3 bedrooms) outside of centre,414.51 €,218.91-948.62,414.51,"(218.91, 948.62)",218.91,948.62
dominican republic,buy apartment price,price per square meter to buy apartment in city centre,"1,368.53 €","977.81-2,572.92",1.368,"(977.81, 2.572)",977.81,2.572
dominican republic,buy apartment price,price per square meter to buy apartment outside of centre,990.15 €,"583.76-1,500.00",990.15,"(583.76, 1.5)",583.76,1.5
dominican republic,salaries and financing,average monthly net salary (after tax),361.89 €,,361.89,,,
dominican republic,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",12.80,10.00-19.00,12.8,"(10.0, 19.0)",10.0,19.0
ecuador,rent per month,apartment (1 bedroom) in city centre,306.96 €,183.78-551.34,306.96,"(183.78, 551.34)",183.78,551.34
ecuador,rent per month,apartment (1 bedroom) outside of centre,252.45 €,137.84-413.50,252.45,"(137.84, 413.5)",137.84,413.5
ecuador,rent per month,apartment (3 bedrooms) in city centre,527.18 €,321.62-849.98,527.18,"(321.62, 849.98)",321.62,849.98
ecuador,rent per month,apartment (3 bedrooms) outside of centre,418.50 €,275.67-735.12,418.5,"(275.67, 735.12)",275.67,735.12
ecuador,buy apartment price,price per square meter to buy apartment in city centre,"1,066.39 €","689.18-1,837.80",1.066,"(689.18, 1.837)",689.18,1.837
ecuador,buy apartment price,price per square meter to buy apartment outside of centre,999.79 €,"573.68-2,297.25",999.79,"(573.68, 2.297)",573.68,2.297
ecuador,salaries and financing,average monthly net salary (after tax),455.24 €,,455.24,,,
ecuador,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.94,7.00-13.00,9.94,"(7.0, 13.0)",7.0,13.0
egypt,rent per month,apartment (1 bedroom) in city centre,146.35 €,72.56-326.52,146.35,"(72.56, 326.52)",72.56,326.52
egypt,rent per month,apartment (1 bedroom) outside of centre,83.74 €,36.28-217.68,83.74,"(36.28, 217.68)",36.28,217.68
egypt,rent per month,apartment (3 bedrooms) in city centre,274.64 €,126.98-598.63,274.64,"(126.98, 598.63)",126.98,598.63
egypt,rent per month,apartment (3 bedrooms) outside of centre,182.12 €,90.70-399.08,182.12,"(90.7, 399.08)",90.7,399.08
egypt,buy apartment price,price per square meter to buy apartment in city centre,600.78 €,"362.80-1,088.41",600.78,"(362.8, 1.088)",362.8,1.088
egypt,buy apartment price,price per square meter to buy apartment outside of centre,361.95 €,181.40-725.61,361.95,"(181.4, 725.61)",181.4,725.61
egypt,salaries and financing,average monthly net salary (after tax),126.76 €,,126.76,,,
egypt,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",14.95,8.00-25.00,14.95,"(8.0, 25.0)",8.0,25.0
el salvador,rent per month,apartment (1 bedroom) in city centre,670.50 €,505.40-827.01,670.5,"(505.4, 827.01)",505.4,827.01
el salvador,rent per month,apartment (1 bedroom) outside of centre,566.55 €,422.69-937.28,566.55,"(422.69, 937.28)",422.69,937.28
el salvador,rent per month,apartment (3 bedrooms) in city centre,953.15 €,"542.15-1,378.35",953.15,"(542.15, 1.378)",542.15,1.378
el salvador,rent per month,apartment (3 bedrooms) outside of centre,744.92 €,"459.45-1,010.79",744.92,"(459.45, 1.01)",459.45,1.01
el salvador,buy apartment price,price per square meter to buy apartment in city centre,"2,165.26 €","1,575.91-2,868.38",2.165,"(575.91, 2.868)",575.91,2.868
el salvador,buy apartment price,price per square meter to buy apartment outside of centre,"1,143.83 €","781.07-1,608.08",1.143,"(781.07, 1.608)",781.07,1.608
el salvador,salaries and financing,average monthly net salary (after tax),472.40 €,,472.4,,,
el salvador,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.50,6.00-13.00,9.5,"(6.0, 13.0)",6.0,13.0
equatorial guinea,rent per month,apartment (1 bedroom) in city centre,304.90 €,228.67-381.12,304.9,"(228.67, 381.12)",228.67,381.12
equatorial guinea,rent per month,apartment (1 bedroom) outside of centre,162.61 €,106.71-228.67,162.61,"(106.71, 228.67)",106.71,228.67
equatorial guinea,rent per month,apartment (3 bedrooms) in city centre,635.20 €,533.57-838.47,635.2,"(533.57, 838.47)",533.57,838.47
equatorial guinea,rent per month,apartment (3 bedrooms) outside of centre,330.31 €,228.67-457.35,330.31,"(228.67, 457.35)",228.67,457.35
equatorial guinea,buy apartment price,price per square meter to buy apartment in city centre,780.15 €,,780.15,,,
equatorial guinea,buy apartment price,price per square meter to buy apartment outside of centre,592.69 €,,592.69,,,
equatorial guinea,salaries and financing,average monthly net salary (after tax),495.46 €,,495.46,,,
equatorial guinea,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.80,,6.8,,,
eritrea,rent per month,apartment (1 bedroom) in city centre,436.48 €,275.67-597.29,436.48,"(275.67, 597.29)",275.67,597.29
eritrea,rent per month,apartment (1 bedroom) outside of centre,367.56 €,183.78-551.34,367.56,"(183.78, 551.34)",183.78,551.34
eritrea,rent per month,apartment (3 bedrooms) in city centre,666.20 €,551.34-781.07,666.2,"(551.34, 781.07)",551.34,781.07
eritrea,rent per month,apartment (3 bedrooms) outside of centre,597.29 €,505.40-689.18,597.29,"(505.4, 689.18)",505.4,689.18
eritrea,buy apartment price,price per square meter to buy apartment in city centre,368.05 €,174.59-561.51,368.05,"(174.59, 561.51)",174.59,561.51
eritrea,buy apartment price,price per square meter to buy apartment outside of centre,"1,349.64 €","918.90-1,780.37",1.349,"(918.9, 1.78)",918.9,1.78
eritrea,salaries and financing,average monthly net salary (after tax),974.03 €,,974.03,,,
eritrea,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",12.00,,12.0,,,
estonia,rent per month,apartment (1 bedroom) in city centre,611.70 €,400.00-800.00,611.7,"(400.0, 800.0)",400.0,800.0
estonia,rent per month,apartment (1 bedroom) outside of centre,446.63 €,300.00-650.00,446.63,"(300.0, 650.0)",300.0,650.0
estonia,rent per month,apartment (3 bedrooms) in city centre,"1,039.15 €","600.00-1,700.00",1.039,"(600.0, 1.7)",600.0,1.7
estonia,rent per month,apartment (3 bedrooms) outside of centre,773.56 €,"500.00-1,050.00",773.56,"(500.0, 1.05)",500.0,1.05
estonia,buy apartment price,price per square meter to buy apartment in city centre,"4,105.20 €","2,500.00-6,000.00",4.105,"(500.0, 6.0)",500.0,6.0
estonia,buy apartment price,price per square meter to buy apartment outside of centre,"2,904.37 €","2,150.00-4,000.00",2.904,"(150.0, 4.0)",150.0,4.0
estonia,salaries and financing,average monthly net salary (after tax),"1,478.82 €",,1.478,,,
estonia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.02,2.50-6.00,5.02,"(2.5, 6.0)",2.5,6.0
eswatini,rent per month,apartment (1 bedroom) in city centre,212.28 €,151.46-350.00,212.28,"(151.46, 350.0)",151.46,350.0
eswatini,rent per month,apartment (1 bedroom) outside of centre,128.74 €,75.73-151.46,128.74,"(75.73, 151.46)",75.73,151.46
eswatini,rent per month,apartment (3 bedrooms) in city centre,388.75 €,302.92-504.87,388.75,"(302.92, 504.87)",302.92,504.87
eswatini,rent per month,apartment (3 bedrooms) outside of centre,292.82 €,227.19-353.41,292.82,"(227.19, 353.41)",227.19,353.41
eswatini,buy apartment price,price per square meter to buy apartment in city centre,302.92 €,201.95-403.89,302.92,"(201.95, 403.89)",201.95,403.89
eswatini,buy apartment price,price per square meter to buy apartment outside of centre,227.19 €,151.46-302.92,227.19,"(151.46, 302.92)",151.46,302.92
eswatini,salaries and financing,average monthly net salary (after tax),469.52 €,,469.52,,,
eswatini,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",9.12,7.25-16.00,9.12,"(7.25, 16.0)",7.25,16.0
ethiopia,rent per month,apartment (1 bedroom) in city centre,601.55 €,"275.67-1,378.35",601.55,"(275.67, 1.378)",275.67,1.378
ethiopia,rent per month,apartment (1 bedroom) outside of centre,354.48 €,185.56-918.90,354.48,"(185.56, 918.9)",185.56,918.9
ethiopia,rent per month,apartment (3 bedrooms) in city centre,"1,141.51 €","630.41-3,216.15",1.141,"(630.41, 3.216)",630.41,3.216
ethiopia,rent per month,apartment (3 bedrooms) outside of centre,694.84 €,"418.10-1,102.68",694.84,"(418.1, 1.102)",418.1,1.102
ethiopia,buy apartment price,price per square meter to buy apartment in city centre,"2,308.34 €","1,789.10-3,314.47",2.308,"(789.1, 3.314)",789.1,3.314
ethiopia,buy apartment price,price per square meter to buy apartment outside of centre,"1,601.07 €","996.58-2,665.73",1.601,"(996.58, 2.665)",996.58,2.665
ethiopia,salaries and financing,average monthly net salary (after tax),184.60 €,,184.6,,,
ethiopia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",15.50,11.00-18.00,15.5,"(11.0, 18.0)",11.0,18.0
falkland islands,rent per month,apartment (1 bedroom) in city centre,"1,069.76 €","594.31-1,545.20",1.069,"(594.31, 1.545)",594.31,1.545
falkland islands,rent per month,apartment (1 bedroom) outside of centre,594.31 €,,594.31,,,
falkland islands,rent per month,apartment (3 bedrooms) in city centre,"1,981.03 €","1,188.62-2,971.54",1.981,"(188.62, 2.971)",188.62,2.971
falkland islands,rent per month,apartment (3 bedrooms) outside of centre,"1,188.62 €",,1.188,,,
falkland islands,salaries and financing,average monthly net salary (after tax),"3,565.85 €",,3.565,,,
falkland islands,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",7.00,,7.0,,,
faroe islands,rent per month,apartment (1 bedroom) in city centre,893.52 €,"536.11-1,340.28",893.52,"(536.11, 1.34)",536.11,1.34
faroe islands,rent per month,apartment (1 bedroom) outside of centre,759.49 €,"536.11-1,072.23",759.49,"(536.11, 1.072)",536.11,1.072
faroe islands,rent per month,apartment (3 bedrooms) in city centre,"1,608.34 €","1,340.28-2,010.42",1.608,"(340.28, 2.01)",340.28,2.01
faroe islands,rent per month,apartment (3 bedrooms) outside of centre,"1,194.22 €","938.20-1,608.34",1.194,"(938.2, 1.608)",938.2,1.608
faroe islands,buy apartment price,price per square meter to buy apartment in city centre,"3,341.89 €","2,377.24-4,020.85",3.341,"(377.24, 4.02)",377.24,4.02
faroe islands,buy apartment price,price per square meter to buy apartment outside of centre,"3,380.46 €","1,876.39-6,254.56",3.38,"(876.39, 6.254)",876.39,6.254
faroe islands,salaries and financing,average monthly net salary (after tax),"1,921.53 €",,1.921,,,
faroe islands,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.10,2.99-3.20,3.1,"(2.99, 3.2)",2.99,3.2
fiji,rent per month,apartment (1 bedroom) in city centre,577.57 €,"280.76-1,002.73",577.57,"(280.76, 1.002)",280.76,1.002
fiji,rent per month,apartment (1 bedroom) outside of centre,285.22 €,160.44-721.96,285.22,"(160.44, 721.96)",160.44,721.96
fiji,rent per month,apartment (3 bedrooms) in city centre,"1,283.49 €","802.18-2,807.64",1.283,"(802.18, 2.807)",802.18,2.807
fiji,rent per month,apartment (3 bedrooms) outside of centre,767.38 €,"459.45-1,403.82",767.38,"(459.45, 1.403)",459.45,1.403
fiji,buy apartment price,price per square meter to buy apartment in city centre,"1,100.82 €","601.64-1,804.91",1.1,"(601.64, 1.804)",601.64,1.804
fiji,buy apartment price,price per square meter to buy apartment outside of centre,742.40 €,"401.09-1,278.58",742.4,"(401.09, 1.278)",401.09,1.278
fiji,salaries and financing,average monthly net salary (after tax),697.98 €,,697.98,,,
fiji,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.50,4.00-12.00,6.5,"(4.0, 12.0)",4.0,12.0
finland,rent per month,apartment (1 bedroom) in city centre,777.93 €,"600.00-1,199.00",777.93,"(600.0, 1.199)",600.0,1.199
finland,rent per month,apartment (1 bedroom) outside of centre,630.46 €,500.00-900.00,630.46,"(500.0, 900.0)",500.0,900.0
finland,rent per month,apartment (3 bedrooms) in city centre,"1,327.93 €","900.00-2,000.00",1.327,"(900.0, 2.0)",900.0,2.0
finland,rent per month,apartment (3 bedrooms) outside of centre,"1,008.96 €","749.00-1,500.00",1.008,"(749.0, 1.5)",749.0,1.5
finland,buy apartment price,price per square meter to buy apartment in city centre,"4,958.06 €","2,500.00-9,000.00",4.958,"(500.0, 9.0)",500.0,9.0
finland,buy apartment price,price per square meter to buy apartment outside of centre,"3,169.75 €","1,500.00-6,000.00",3.169,"(500.0, 6.0)",500.0,6.0
finland,salaries and financing,average monthly net salary (after tax),"2,698.21 €",,2.698,,,
finland,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.80,2.00-5.00,3.8,"(2.0, 5.0)",2.0,5.0
france,rent per month,apartment (1 bedroom) in city centre,769.47 €,"530.00-1,365.64",769.47,"(530.0, 1.365)",530.0,1.365
france,rent per month,apartment (1 bedroom) outside of centre,606.16 €,"400.00-1,018.90",606.16,"(400.0, 1.018)",400.0,1.018
france,rent per month,apartment (3 bedrooms) in city centre,"1,441.37 €","900.00-3,082.76",1.441,"(900.0, 3.082)",900.0,3.082
france,rent per month,apartment (3 bedrooms) outside of centre,"1,127.60 €","750.00-2,080.00",1.127,"(750.0, 2.08)",750.0,2.08
france,buy apartment price,price per square meter to buy apartment in city centre,"5,796.35 €","3,000.00-12,260.87",5.796,"(0.0, 12.26)",0.0,12.26
france,buy apartment price,price per square meter to buy apartment outside of centre,"3,917.13 €","2,117.00-9,000.00",3.917,"(117.0, 9.0)",117.0,9.0
france,salaries and financing,average monthly net salary (after tax),"2,368.47 €",,2.368,,,
france,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.66,3.50-4.00,3.66,"(3.5, 4.0)",3.5,4.0
french guiana,rent per month,apartment (1 bedroom) in city centre,934.50 €,"750.00-1,288.00",934.5,"(750.0, 1.288)",750.0,1.288
french guiana,rent per month,apartment (1 bedroom) outside of centre,716.67 €,650.00-800.00,716.67,"(650.0, 800.0)",650.0,800.0
french guiana,rent per month,apartment (3 bedrooms) in city centre,"1,416.67 €","1,050.00-1,600.00",1.416,"(50.0, 1.6)",50.0,1.6
french guiana,rent per month,apartment (3 bedrooms) outside of centre,"1,400.00 €","1,200.00-1,500.00",1.4,"(200.0, 1.5)",200.0,1.5
french guiana,buy apartment price,price per square meter to buy apartment in city centre,"3,033.33 €","2,800.00-3,500.00",3.033,"(800.0, 3.5)",800.0,3.5
french guiana,buy apartment price,price per square meter to buy apartment outside of centre,"2,766.67 €","2,500.00-3,000.00",2.766,"(500.0, 3.0)",500.0,3.0
french guiana,salaries and financing,average monthly net salary (after tax),"2,000.00 €",,2.0,,,
french guiana,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.53,1.60-5.00,3.53,"(1.6, 5.0)",1.6,5.0
french polynesia,rent per month,apartment (1 bedroom) in city centre,"1,131.30 €","1,005.60-1,257.00",1.131,"(5.6, 1.257)",5.6,1.257
french polynesia,rent per month,apartment (1 bedroom) outside of centre,949.73 €,"838.00-1,005.60",949.73,"(838.0, 1.005)",838.0,1.005
french polynesia,rent per month,apartment (3 bedrooms) in city centre,"1,843.60 €","1,676.00-2,095.00",1.843,"(676.0, 2.095)",676.0,2.095
french polynesia,rent per month,apartment (3 bedrooms) outside of centre,"1,592.20 €","1,257.00-2,011.20",1.592,"(257.0, 2.011)",257.0,2.011
french polynesia,buy apartment price,price per square meter to buy apartment in city centre,"8,420.00 €","8,380.00-8,500.00",8.42,"(380.0, 8.5)",380.0,8.5
french polynesia,buy apartment price,price per square meter to buy apartment outside of centre,"6,971.65 €","4,320.00-9,890.96",6.971,"(320.0, 9.89)",320.0,9.89
french polynesia,salaries and financing,average monthly net salary (after tax),"1,557.00 €",,1.557,,,
french polynesia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.40,4.81-6.00,5.4,"(4.81, 6.0)",4.81,6.0
french southern territories,salaries and financing,average monthly net salary (after tax),"2,698.00 €",,2.698,,,
gabon,rent per month,apartment (1 bedroom) in city centre,787.65 €,"381.12-1,219.59",787.65,"(381.12, 1.219)",381.12,1.219
gabon,rent per month,apartment (1 bedroom) outside of centre,457.35 €,,457.35,,,
gabon,rent per month,apartment (3 bedrooms) in city centre,"1,931.02 €","1,219.59-2,286.74",1.931,"(219.59, 2.286)",219.59,2.286
gabon,rent per month,apartment (3 bedrooms) outside of centre,736.84 €,457.35-990.92,736.84,"(457.35, 990.92)",457.35,990.92
gabon,buy apartment price,price per square meter to buy apartment in city centre,"7,622.45 €",,7.622,,,
gabon,buy apartment price,price per square meter to buy apartment outside of centre,"2,437.53 €",,2.437,,,
gabon,salaries and financing,average monthly net salary (after tax),360.80 €,,360.8,,,
gabon,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",14.00,10.00-18.00,14.0,"(10.0, 18.0)",10.0,18.0
gambia,rent per month,apartment (1 bedroom) in city centre,94.24 €,,94.24,,,
gambia,rent per month,apartment (1 bedroom) outside of centre,75.03 €,20.08-128.14,75.03,"(20.08, 128.14)",20.08,128.14
gambia,rent per month,apartment (3 bedrooms) in city centre,230.65 €,205.02-256.28,230.65,"(205.02, 256.28)",205.02,256.28
