Pays,Catégorie,Item,Valeur,Plage,Valeur_nettoyee,Plage_nettoyee,Plage_min,Plage_max
angola,buy apartment price,price per square meter to buy apartment in city centre,"4,374.70 €","4,135.05-22,075.68",4.374,"(135.05, 22.075)",135.05,22.075
angola,buy apartment price,price per square meter to buy apartment outside of centre,"2,801.54 €","869.63-4,962.06",2.801,"(869.63, 4.962)",869.63,4.962
angola,salaries and financing,average monthly net salary (after tax),"3,298.54 €",,3.298,,,
angola,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",25.00,22.00-25.00,25.0,"(22.0, 25.0)",22.0,25.0
anguilla,rent per month,apartment (1 bedroom) outside of centre,735.12 €,,735.12,,,
anguilla,rent per month,apartment (3 bedrooms) outside of centre,"1,378.35 €",,1.378,,,
anguilla,buy apartment price,price per square meter to buy apartment in city centre,916.14 €,,916.14,,,
anguilla,buy apartment price,price per square meter to buy apartment outside of centre,482.42 €,,482.42,,,
anguilla,salaries and financing,average monthly net salary (after tax),"1,899.06 €",,1.899,,,
anguilla,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.78,,3.78,,,
antigua and barbuda,rent per month,apartment (1 bedroom) in city centre,"1,598.92 €","680.02-2,756.70",1.598,"(680.02, 2.756)",680.02,2.756
antigua and barbuda,rent per month,apartment (1 bedroom) outside of centre,"1,394.72 €","1,020.04-2,144.10",1.394,"(20.04, 2.144)",20.04,2.144
antigua and barbuda,rent per month,apartment (3 bedrooms) in city centre,"2,303.41 €","1,654.02-3,216.15",2.303,"(654.02, 3.216)",654.02,3.216
antigua and barbuda,rent per month,apartment (3 bedrooms) outside of centre,"1,360.05 €","1,020.04-1,700.06",1.36,"(20.04, 1.7)",20.04,1.7
antigua and barbuda,buy apartment price,price per square meter to buy apartment in city centre,"10,657.66 €","5,489.79-15,825.53",10.657,"(489.79, 15.825)",489.79,15.825
antigua and barbuda,salaries and financing,average monthly net salary (after tax),"1,613.17 €",,1.613,,,
antigua and barbuda,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",5.75,5.50-6.00,5.75,"(5.5, 6.0)",5.5,6.0
argentina,rent per month,apartment (1 bedroom) in city centre,420.49 €,275.67-735.12,420.49,"(275.67, 735.12)",275.67,735.12
argentina,rent per month,apartment (1 bedroom) outside of centre,301.93 €,183.78-459.45,301.93,"(183.78, 459.45)",183.78,459.45
argentina,rent per month,apartment (3 bedrooms) in city centre,757.58 €,"413.50-1,378.35",757.58,"(413.5, 1.378)",413.5,1.378
argentina,rent per month,apartment (3 bedrooms) outside of centre,550.04 €,321.62-918.90,550.04,"(321.62, 918.9)",321.62,918.9
argentina,buy apartment price,price per square meter to buy apartment in city centre,"2,040.16 €","1,194.57-3,675.60",2.04,"(194.57, 3.675)",194.57,3.675
argentina,buy apartment price,price per square meter to buy apartment outside of centre,"1,477.10 €","827.01-2,536.16",1.477,"(827.01, 2.536)",827.01,2.536
argentina,salaries and financing,average monthly net salary (after tax),540.79 €,,540.79,,,
argentina,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",72.72,40.00-115.00,72.72,"(40.0, 115.0)",40.0,115.0
armenia,rent per month,apartment (1 bedroom) in city centre,688.05 €,"468.81-1,043.11",688.05,"(468.81, 1.043)",468.81,1.043
armenia,rent per month,apartment (1 bedroom) outside of centre,479.57 €,328.17-703.22,479.57,"(328.17, 703.22)",328.17,703.22
armenia,rent per month,apartment (3 bedrooms) in city centre,"1,152.54 €","820.42-1,875.25",1.152,"(820.42, 1.875)",820.42,1.875
armenia,rent per month,apartment (3 bedrooms) outside of centre,744.20 €,"468.81-1,172.03",744.2,"(468.81, 1.172)",468.81,1.172
armenia,buy apartment price,price per square meter to buy apartment in city centre,"3,103.00 €","1,875.25-4,688.13",3.103,"(875.25, 4.688)",875.25,4.688
armenia,buy apartment price,price per square meter to buy apartment outside of centre,"1,460.80 €","1,054.83-2,102.63",1.46,"(54.83, 2.102)",54.83,2.102
armenia,salaries and financing,average monthly net salary (after tax),561.71 €,,561.71,,,
armenia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",15.01,12.00-18.20,15.01,"(12.0, 18.2)",12.0,18.2
aruba,rent per month,apartment (1 bedroom) in city centre,709.28 €,551.34-827.01,709.28,"(551.34, 827.01)",551.34,827.01
aruba,rent per month,apartment (1 bedroom) outside of centre,507.77 €,459.45-611.75,507.77,"(459.45, 611.75)",459.45,611.75
aruba,rent per month,apartment (3 bedrooms) in city centre,"1,359.46 €","1,102.68-1,837.80",1.359,"(102.68, 1.837)",102.68,1.837
aruba,rent per month,apartment (3 bedrooms) outside of centre,"1,142.63 €","872.96-1,837.80",1.142,"(872.96, 1.837)",872.96,1.837
aruba,buy apartment price,price per square meter to buy apartment in city centre,"2,296.19 €","1,837.80-2,756.70",2.296,"(837.8, 2.756)",837.8,2.756
aruba,buy apartment price,price per square meter to buy apartment outside of centre,"1,591.70 €","1,529.38-1,654.02",1.591,"(529.38, 1.654)",529.38,1.654
aruba,salaries and financing,average monthly net salary (after tax),"1,746.23 €",,1.746,,,
aruba,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.67,6.00-7.00,6.67,"(6.0, 7.0)",6.0,7.0
australia,rent per month,apartment (1 bedroom) in city centre,"1,226.12 €","813.78-1,954.62",1.226,"(813.78, 1.954)",813.78,1.954
australia,rent per month,apartment (1 bedroom) outside of centre,977.81 €,"697.52-1,453.17",977.81,"(697.52, 1.453)",697.52,1.453
australia,rent per month,apartment (3 bedrooms) in city centre,"2,066.14 €","1,336.92-3,881.02",2.066,"(336.92, 3.881)",336.92,3.881
australia,rent per month,apartment (3 bedrooms) outside of centre,"1,523.35 €","1,162.54-2,325.39",1.523,"(162.54, 2.325)",162.54,2.325
australia,buy apartment price,price per square meter to buy apartment in city centre,"5,950.19 €","3,799.76-12,226.68",5.95,"(799.76, 12.226)",799.76,12.226
australia,buy apartment price,price per square meter to buy apartment outside of centre,"4,436.33 €","2,906.35-7,440.25",4.436,"(906.35, 7.44)",906.35,7.44
australia,salaries and financing,average monthly net salary (after tax),"3,228.63 €",,3.228,,,
australia,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",6.37,5.20-7.10,6.37,"(5.2, 7.1)",5.2,7.1
austria,rent per month,apartment (1 bedroom) in city centre,873.72 €,"600.00-1,200.00",873.72,"(600.0, 1.2)",600.0,1.2
austria,rent per month,apartment (1 bedroom) outside of centre,709.91 €,"550.00-1,000.00",709.91,"(550.0, 1.0)",550.0,1.0
austria,rent per month,apartment (3 bedrooms) in city centre,"1,573.38 €","1,000.00-2,500.00",1.573,"(0.0, 2.5)",0.0,2.5
austria,rent per month,apartment (3 bedrooms) outside of centre,"1,269.43 €","900.00-1,800.00",1.269,"(900.0, 1.8)",900.0,1.8
austria,buy apartment price,price per square meter to buy apartment in city centre,"6,572.19 €","4,000.00-12,000.00",6.572,"(0.0, 12.0)",0.0,12.0
austria,buy apartment price,price per square meter to buy apartment outside of centre,"4,911.78 €","3,500.00-7,500.00",4.911,"(500.0, 7.5)",500.0,7.5
austria,salaries and financing,average monthly net salary (after tax),"2,384.08 €",,2.384,,,
austria,salaries and financing,"mortgage interest rate in percentages (%), yearly, for 20 years fixed-rate",3.68,1.80-4.00,3.68,"(1.8, 4.0)",1.8,4.0
